Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
['Left Parahippocampus'],['lParahip'],38,-0.021492843,-0.017292434,-0.0219182,8,0.375,0.375,0,0,0,0,0,0.5,0,15,8,13,18,32,19,26,4,15,38_r,38,Parahippocampus'],0.3375,0,0,0,0,0,0.45,0,9,15,23,35,21,29,5,17
['Right Parahippocampus'],['rParahip'],39,0.02514841,-0.016300353,-0.021743816,10,0.3,0.3,0,0,0,0,0,0.4,0,20,14,13,18,32,19,26,8,15,39_r,39,Parahippocampus'],0.3375,0,0,0,0,0,0.45,0,9,15,23,35,21,29,5,17
['Left Amygdala'],['lAmyg'],40,-0.023509091,-0.001945455,-0.018454545,2,0,0,0,0,0,0,0,1,0,37,26,13,18,32,19,26,1,15,40_r,40,Amygdala'],0,0,0,0,0,0,1,0,29,15,23,35,21,29,1,17
['Right Amygdala'],['rAmyg'],41,0.027056452,-0.000572581,-0.018806452,1,0,0,0,0,0,0,0,1,0,37,26,13,18,32,19,26,1,15,41_r,41,Amygdala'],0,0,0,0,0,0,1,0,29,15,23,35,21,29,1,17
['Left Calcarine fissure and surrounding cortex'],['lCalc'],42,-0.007482728,-0.079821081,0.005103632,20,0,0,0,0,0,0.55,0,0,0,37,26,13,18,32,8,26,23,15,42_r,42,Calcarinefissureandsurroundingcortex'],0,0,0,0,0.608333334,0,0,0,29,15,23,35,7,29,27,17
['Right Calcarine fissure and surrounding cortex'],['rCalc'],43,0.015709833,-0.074449221,0.008019344,12,0,0,0,0,0,0.666666667,0,0,0,37,26,13,18,32,4,26,23,15,43_r,43,Calcarinefissureandsurroundingcortex'],0,0,0,0,0.608333334,0,0,0,29,15,23,35,7,29,27,17
['Left Cuneus'],['lCu'],44,-0.006256881,-0.08142464,0.025838794,11,0.181818182,0.181818182,0,0,0.363636364,0.909090909,0,0,0,25,19,13,18,10,2,26,23,15,44_r,44,Cuneus'],0.244755245,0,0,0.258741259,0.762237762,0,0,0,17,15,23,15,3,29,27,17
['Right Cuneus'],['rCu'],45,0.013189607,-0.080589888,0.026852528,13,0.307692308,0.307692308,0,0,0.153846154,0.615384615,0,0,0,19,13,13,18,25,6,26,23,15,45_r,45,Cuneus'],0.244755245,0,0,0.258741259,0.762237762,0,0,0,17,15,23,15,3,29,27,17
['Left Lingual gyrus'],['lLingual'],46,-0.014858234,-0.068864916,-0.006007637,14,0,0,0,0,0,0.714285714,0,0,0,37,26,13,18,32,3,26,23,15,46_r,46,Lingualgyrus'],0,0,0,0,0.634920635,0,0,0,29,15,23,35,5,29,27,17
['Right Lingual gyrus'],['rLingual'],47,0.016077391,-0.068141739,-0.005215652,18,0,0,0,0,0,0.555555556,0,0,0,37,26,13,18,32,7,26,23,15,47_r,47,Lingualgyrus'],0,0,0,0,0.634920635,0,0,0,29,15,23,35,5,29,27,17
['Left Superior Occipital lobe'],['lSOccL'],48,-0.016756955,-0.085610542,0.026853587,11,0,0,0,0,0.272727273,0.181818182,0,0,0,37,26,13,18,16,12,26,23,15,48_r,48,SuperiorOccipitallobe'],0,0,0.05,0.336363637,0.290909091,0,0,0,29,15,17,9,11,29,27,17
['Right Superior Occipital lobe'],['rSOccL'],49,0.023963199,-0.082206653,0.029265393,10,0,0,0,0.1,0.4,0.4,0,0,0,37,26,13,14,6,11,26,23,15,49_r,49,SuperiorOccipitallobe'],0,0,0.05,0.336363637,0.290909091,0,0,0,29,15,17,9,11,29,27,17
['Left Middle Occipital lobe'],['lMOccL'],50,-0.032617125,-0.082021407,0.014767584,29,0.068965517,0.068965517,0,0.068965517,0.103448276,0.448275862,0,0,0,33,23,13,16,28,10,26,23,15,50_r,50,MiddleOccipitallobe'],0.034482759,0,0.034482759,0.081135903,0.488843814,0,0,0,25,15,19,31,9,29,27,17
['Right Middle Occipital lobe'],['rMOccL'],51,0.037127741,-0.080993327,0.018067684,17,0,0,0,0,0.058823529,0.529411765,0,0,0,37,26,13,18,30,9,26,23,15,51_r,51,MiddleOccipitallobe'],0.034482759,0,0.034482759,0.081135903,0.488843814,0,0,0,25,15,19,31,9,29,27,17
['Left Inferior Occipital lobe'],['lIOccL'],52,-0.036482465,-0.079568544,-0.009164718,8,0,0,0,0,0,0.625,0,0,0,37,26,13,18,32,5,26,23,15,52_r,52,InferiorOccipitallobe'],0,0,0,0,0.8125,0,0,0,29,15,23,35,1,29,27,17
['Right Inferior Occipital lobe'],['rIOccl'],53,0.037870576,-0.083191102,-0.008992922,5,0,0,0,0,0,1,0,0,0,37,26,13,18,32,1,26,23,15,53_r,53,InferiorOccipitallobe'],0,0,0,0,0.8125,0,0,0,29,15,23,35,1,29,27,17
['Left Fusiform gyrus'],['lFusiG'],54,-0.03138961,-0.041405195,-0.021606061,15,0.133333333,0.133333333,0,0,0,0.066666667,0,0,0,27,20,13,18,32,15,26,23,15,54_r,54,Fusiformgyrus'],0.250877193,0,0,0,0.112280702,0,0,0,15,15,23,35,13,29,27,17
['Right Fusiform gyrus'],['rFusiG'],55,0.033659253,-0.04019857,-0.021533757,19,0.368421053,0.368421053,0,0,0,0.157894737,0,0,0,16,9,13,18,32,13,26,23,15,55_r,55,Fusiformgyrus'],0.250877193,0,0,0,0.112280702,0,0,0,15,15,23,35,13,29,27,17
['Left Postcentral gyrus'],['lPreG'],56,-0.042904419,-0.023775437,0.047456835,34,0,0,0,0.147058824,0,0,0.029411765,0,0.294117647,37,26,13,12,32,19,25,23,5,56_r,56,Postcentralgyrus'],0,0,0.134135473,0,0,0.014705883,0,0.298573975,29,15,11,35,21,27,27,3
['Right Postcentral gyrus'],['rPreG'],57,0.041158253,-0.026772692,0.051253989,33,0,0,0,0.121212121,0,0,0,0,0.303030303,37,26,13,13,32,19,26,23,4,57_r,57,Postcentralgyrus'],0,0,0.134135473,0,0,0.014705883,0,0.298573975,29,15,11,35,21,27,27,3
['Left Superior Parietal gyrus'],['lSPG'],58,-0.023713317,-0.060807748,0.057657143,16,0.125,0.125,0,0.5,0.375,0,0,0,0,28,21,13,3,7,19,26,23,15,58_r,58,SuperiorParietalgyrus'],0.0625,0,0.5,0.298611111,0,0,0,0,23,15,3,11,21,29,27,17
['Right Superior Parietal gyrus'],['rSPG'],59,0.025842484,-0.060428443,0.060713771,18,0,0,0,0.5,0.222222222,0,0,0,0,37,26,13,3,22,19,26,23,15,59_r,59,SuperiorParietalgyrus'],0.0625,0,0.5,0.298611111,0,0,0,0,23,15,3,11,21,29,27,17
['Left Inferior Parietal gyrus'],['lIPG'],60,-0.043106661,-0.047019207,0.045422967,18,0.055555556,0.055555556,0,0.722222222,0.722222222,0,0.166666667,0,0,34,24,13,2,2,19,18,23,15,60_r,60,InferiorParietalgyrus'],0.20959596,0,0.724747475,0.724747475,0,0.21969697,0,0,19,15,1,1,21,15,27,17
['Right Inferior Parietal gyrus'],['rIPG'],61,0.04629145,-0.047588104,0.048191822,11,0.363636364,0.363636364,0,0.727272727,0.727272727,0,0.272727273,0,0,17,10,13,1,1,19,13,23,15,61_r,61,InferiorParietalgyrus'],0.20959596,0,0.724747475,0.724747475,0,0.21969697,0,0,19,15,1,1,21,15,27,17
['Left Supramarginal gyrus'],['lSMG'],62,-0.056146497,-0.034936306,0.029119427,8,0,0,0,0,0.375,0,0.5,0,0,37,26,13,18,7,19,4,23,15,62_r,62,Supramarginalgyrus'],0,0,0.2,0.3375,0,0.4,0,0.05,29,15,9,7,21,5,27,13
['Right Supramarginal gyrus'],['rSMG'],63,0.057262411,-0.032817629,0.033134752,10,0,0,0,0.4,0.3,0,0.3,0,0.1,37,26,13,5,12,19,12,23,11,63_r,63,Supramarginalgyrus'],0,0,0.2,0.3375,0,0.4,0,0.05,29,15,9,7,21,5,27,13
['Left Angular gyrus'],['lAng'],64,-0.044434783,-0.062081841,0.034283035,9,0.888888889,0.888888889,0,0.222222222,0.555555556,0,0.333333333,0,0,1,1,13,9,5,19,11,23,15,64_r,64,Angulargyrus'],0.75,0,0.277777778,0.638888889,0,0.361111111,0,0,1,15,7,3,21,9,27,17
['Right Angular gyrus'],['rAng'],65,0.045228311,-0.061238584,0.037315068,18,0.611111111,0.611111111,0,0.333333333,0.722222222,0,0.388888889,0,0,3,3,13,6,2,19,7,23,15,65_r,65,Angulargyrus'],0.75,0,0.277777778,0.638888889,0,0.361111111,0,0,1,15,7,3,21,9,27,17
['Left Precuneus'],['lPrecu'],66,-0.007590703,-0.05732483,0.046640023,28,0.464285714,0.464285714,0,0,0.285714286,0.035714286,0,0,0,10,6,13,18,13,18,26,23,15,66_r,66,Precuneus'],0.398809524,0,0,0.285714286,0.041666667,0,0,0,7,15,23,13,15,29,27,17
['Right Precuneus'],['rPrecu'],67,0.009688821,-0.057313936,0.042360796,21,0.333333333,0.333333333,0,0,0.285714286,0.047619048,0,0,0,18,11,13,18,13,16,26,23,15,67_r,67,Precuneus'],0.398809524,0,0,0.285714286,0.041666667,0,0,0,7,15,23,13,15,29,27,17
['Left Paracentral lobule'],['lParaL'],68,-0.007974796,-0.026650852,0.068692365,9,0,0,0,0,0,0,0,0,0.111111111,37,26,13,18,32,19,26,23,9,68_r,68,Paracentrallobule'],0,0,0,0,0,0,0,0.055555556,29,15,23,35,21,29,27,11
