,Names,Nicknames,Index,X,Y,Z,Source Count,DMN Pct,pDMN Pct,aDMN Pct,DAN Pct,FPN Pct,VN Pct,VAN Pct,SN Pct,SMN Pct,DMN Rank,pDMN Rank,aDMN Rank,DAN Rank,FPN Rank,VN Rank,VAN Rank,SN Rank,SMN Rank,RoiID,node_index,BalancedName,pDMN Pct Bal,aDMN Pct Bal,DAN Pct Bal,FPN Pct Bal,VN Pct Bal,VAN Pct Bal,SN Pct Bal,SMN Pct Bal,pDMN Rank Bal,aDMN Rank Bal,DAN Rank Bal,FPN Rank Bal,VN Rank Bal,VAN Rank Bal,SN Rank Bal,SMN Rank Bal
33,"['Right Cingulate gyrus, Middle part']",['rMCC'],33,0.007664094,-0.010197004,0.038437585,15,0.4,0.333333333,0.066666667,0.0,0.2,0.0,0.0,0.066666667,0.266666667,11,11.0,11.0,18.0,23.0,19.0,26.0,20.0,6.0,33_r,33,"Cingulategyrus,Middlepart']",0.2604166665,0.0333333335,0.0,0.225,0.0,0.0,0.0333333335,0.2895833335,11.0,11.0,23.0,23.0,21.0,29.0,23.0,5.0
34,"['Left Cingulate gyrus, Posterior part']",['lPCC'],34,-0.005205184,-0.044172786,0.023278618,5,0.6,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,4,4.0,13.0,18.0,23.0,19.0,26.0,23.0,15.0,34_r,34,"Cingulategyrus,Posteriorpart']",0.675,0.0,0.0,0.225,0.0,0.0,0.0,0.0,3.0,15.0,23.0,23.0,21.0,29.0,27.0,17.0
35,"['Right Cingulate gyrus, Posterior part']",['rPCC'],35,0.007176119,-0.043086567,0.020471642,4,0.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,2,2.0,13.0,18.0,17.0,19.0,26.0,23.0,15.0,35_r,35,"Cingulategyrus,Posteriorpart']",0.675,0.0,0.0,0.225,0.0,0.0,0.0,0.0,3.0,15.0,23.0,23.0,21.0,29.0,27.0,17.0
36,['Left Hippocampus'],['lHip'],36,-0.025255365,-0.021963519,-0.01138412,5,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,11,7.0,13.0,18.0,32.0,19.0,26.0,8.0,15.0,36_r,36,Hippocampus'],0.4857142855,0.0,0.0,0.0,0.0,0.0,0.34285714300000003,0.0,5.0,15.0,23.0,35.0,21.0,29.0,11.0,17.0
37,['Right Hippocampus'],['rHip'],37,0.028945032,-0.020991543,-0.011577167,7,0.571428571,0.571428571,0.0,0.0,0.0,0.0,0.0,0.285714286,0.0,5,5.0,13.0,18.0,32.0,19.0,26.0,14.0,15.0,37_r,37,Hippocampus'],0.4857142855,0.0,0.0,0.0,0.0,0.0,0.34285714300000003,0.0,5.0,15.0,23.0,35.0,21.0,29.0,11.0,17.0
38,['Left Parahippocampus'],['lParahip'],38,-0.021492843,-0.017292434,-0.0219182,8,0.375,0.375,0.0,0.0,0.0,0.0,0.0,0.5,0.0,15,8.0,13.0,18.0,32.0,19.0,26.0,4.0,15.0,38_r,38,Parahippocampus'],0.3375,0.0,0.0,0.0,0.0,0.0,0.45,0.0,9.0,15.0,23.0,35.0,21.0,29.0,5.0,17.0
39,['Right Parahippocampus'],['rParahip'],39,0.02514841,-0.016300353,-0.021743816,10,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.4,0.0,20,14.0,13.0,18.0,32.0,19.0,26.0,8.0,15.0,39_r,39,Parahippocampus'],0.3375,0.0,0.0,0.0,0.0,0.0,0.45,0.0,9.0,15.0,23.0,35.0,21.0,29.0,5.0,17.0
40,['Left Amygdala'],['lAmyg'],40,-0.023509091,-0.001945455,-0.018454545,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,1.0,15.0,40_r,40,Amygdala'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,15.0,23.0,35.0,21.0,29.0,1.0,17.0
41,['Right Amygdala'],['rAmyg'],41,0.027056452,-0.000572581,-0.018806452,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,37,26.0,13.0,18.0,32.0,19.0,26.0,1.0,15.0,41_r,41,Amygdala'],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,15.0,23.0,35.0,21.0,29.0,1.0,17.0
42,['Left Calcarine fissure and surrounding cortex'],['lCalc'],42,-0.007482728,-0.079821081,0.005103632,20,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,8.0,26.0,23.0,15.0,42_r,42,Calcarinefissureandsurroundingcortex'],0.0,0.0,0.0,0.0,0.6083333335000001,0.0,0.0,0.0,29.0,15.0,23.0,35.0,7.0,29.0,27.0,17.0
43,['Right Calcarine fissure and surrounding cortex'],['rCalc'],43,0.015709833,-0.074449221,0.008019344,12,0.0,0.0,0.0,0.0,0.0,0.666666667,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,4.0,26.0,23.0,15.0,43_r,43,Calcarinefissureandsurroundingcortex'],0.0,0.0,0.0,0.0,0.6083333335000001,0.0,0.0,0.0,29.0,15.0,23.0,35.0,7.0,29.0,27.0,17.0
44,['Left Cuneus'],['lCu'],44,-0.006256881,-0.08142464,0.025838794,11,0.181818182,0.181818182,0.0,0.0,0.363636364,0.909090909,0.0,0.0,0.0,25,19.0,13.0,18.0,10.0,2.0,26.0,23.0,15.0,44_r,44,Cuneus'],0.244755245,0.0,0.0,0.258741259,0.762237762,0.0,0.0,0.0,17.0,15.0,23.0,15.0,3.0,29.0,27.0,17.0
45,['Right Cuneus'],['rCu'],45,0.013189607,-0.080589888,0.026852528,13,0.307692308,0.307692308,0.0,0.0,0.153846154,0.615384615,0.0,0.0,0.0,19,13.0,13.0,18.0,25.0,6.0,26.0,23.0,15.0,45_r,45,Cuneus'],0.244755245,0.0,0.0,0.258741259,0.762237762,0.0,0.0,0.0,17.0,15.0,23.0,15.0,3.0,29.0,27.0,17.0
46,['Left Lingual gyrus'],['lLingual'],46,-0.014858234,-0.068864916,-0.006007637,14,0.0,0.0,0.0,0.0,0.0,0.714285714,0.0,0.0,0.0,37,26.0,13.0,18.0,32.0,3.0,26.0,23.0,15.0,46_r,46,Lingualgyrus'],0.0,0.0,0.0,0.0,0.634920635,0.0,0.0,0.0,29.0,15.0,23.0,35.0,5.0,29.0,27.0,17.0
